,id,track_name,artist,album_name,album_release_date,album_track_num,album_track_placement,genre,duration_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,2mkIuDdISUvCcrxxZ4EN6b,Edge of the Night,Nite,Voices of the Kronian Moon,2022-03-25,6,0.75,,5.0574666666666666,False,20,0.397,0.982,9,-5.673,0,0.145,1.05e-05,0.777,0.122,0.17,144.036,4
1,0DDUNKcxiNVf7mMhGovPT0,Kronian Moon,Nite,Voices of the Kronian Moon,2022-03-25,2,0.25,,3.9899,False,22,0.433,0.938,2,-4.68,0,0.0578,1.85e-05,0.516,0.106,0.167,123.982,4
2,4oTLgIDkeBPB4YjHRGJ6EI,Glitch Cannon,Artificial Brain,Artificial Brain,2022-06-03,2,0.2,,3.6353,False,31,0.34,0.974,5,-9.562,0,0.0614,0.000124,0.945,0.436,0.0363,95.02,4
3,2Pvxvrbl8J6YFl5vSJzEDp,Discipline 27,EABS,Discipline of Sun Ra,2020-10-30,4,0.5714285714285714,,5.344566666666666,False,11,0.312,0.65,10,-8.203,0,0.0501,0.0434,0.336,0.278,0.205,90.492,4
4,0BUxtt8OufQRdqpcu2uaXU,The Lady with the Golden Stockings (The Golden Lady),EABS,Discipline of Sun Ra,2020-10-30,3,0.42857142857142855,,3.3064666666666667,False,20,0.508,0.475,11,-9.357,0,0.0564,0.193,0.944,0.118,0.185,117.21,3
5,5Qv9koHO6EI3Iyd2Wb8uDf,Edeste,Khôrada,Salt,2018-07-20,1,0.14285714285714285,,7.303333333333333,False,5,0.182,0.722,0,-10.404,1,0.0744,0.00236,0.825,0.109,0.235,144.193,1
6,7pN4PXovW1KjUdSeWJc98n,Cult of Starry Wisdom,Sulphur Aeon,The Scythe of Cosmic Chaos,2018-12-21,1,0.125,,6.032616666666667,False,30,0.37,0.948,3,-7.998,1,0.157,2.06e-05,0.366,0.144,0.0395,105.079,4
7,4FZkcYUxFQPEPictdTsPm0,Fires That Light the Earth,Thrawsunblat,Metachthonia,2016-06-17,1,0.16666666666666666,,10.766,False,16,0.304,0.938,3,-6.071,1,0.12,1.18e-05,0.777,0.13,0.0562,158.001,4
8,3TWauYbZrOzGlZz0Cf2hL8,Ordalian,Latitudes,Old Sunlight,2016-01-22,1,0.14285714285714285,,9.224966666666667,False,13,0.124,0.653,5,-10.512,0,0.0411,0.000162,0.731,0.165,0.202,152.67,4
9,426XPQxCgZWfLZOldyTbML,Where Our Homes Used to Be,Cities of the Plain,Where Our Homes Used to Be,2014-05-16,1,0.14285714285714285,,7.035633333333333,False,1,0.329,0.848,8,-4.987,1,0.0728,0.000162,0.704,0.363,0.0577,144.9,3
10,2DMThaWfnkh3Aju9NWyve0,Damaged Awake,Generation Of Vipers,Coffin Wisdom,2014-10-27,1,0.14285714285714285,,4.499816666666666,False,6,0.42,0.915,7,-4.73,1,0.0789,2.75e-05,0.95,0.554,0.269,103.476,3
11,5uvDAYMLFwNpr5LHNRDgVZ,Mountain,Tempel,On the Steps of the Temple,2014-01-21,1,0.16666666666666666,,8.514216666666666,False,5,0.427,0.959,6,-5.943,1,0.0748,8.97e-06,0.938,0.116,0.105,133.871,4
